"","Place","Name","Time","School","Class"
"1",1,"Owen Janiszeski","15:54.30","Luverne","M"
"2",2,"Joe Cross","16:10.30","Dakota Valley","M"
"3",3,"Jack Brown","16:20.90","Dakota Valley","M"
"4",4,"Levi Vander Leest","16:30.73","SF Christian","M"
"5",5,"Alex Oberloh","16:32.47","SF Christian","M"
"6",6,"Ryan Fick","16:46.50","Luverne","M"
"7",7,"Benjamin Strunk","16:51.48","West Central","M"
"8",8,"Tavin Schroeder","16:54.07","Freeman Acad","M"
"9",9,"Jonathon Roth","16:55.79","West Central","M"
"10",10,"Henry Anderson","16:59.44","Vermillion","M"
"11",11,"Jackson Prins","17:08.31","SF Christian","M"
"12",12,"Isaac Koole","17:18.95","SF Christian","M"
"13",13,"Noah Sayler","17:23.03","Lennox","M"
"14",14,"Cade Sherard","17:24.72","Lennox","M"
"15",15,"Gage Beverly","17:28.88","Vermillion","M"
"16",16,"Reid Hammerquist","17:29.24","Tea Area","M"
"17",17,"Grant Koehnen","17:31.19","Martin County West","M"
"18",18,"Sage Viessman","17:31.34","Luverne","M"
"19",19,"Finley McConniel","17:33.37","Freeman Acad","M"
"20",20,"Jacob Chasing Hawk","17:39.04","Vermillion","M"
"21",21,"Levi Davelaar","17:39.11","SF Christian","M"
"22",22,"Evan Bartelt","17:50.48","Ethan/Parkston","M"
"23",23,"Hunter Morse","17:52.96","Vermillion","M"
"24",24,"Michael Green","18:01.79","Dakota Valley","M"
"25",25,"Jack Campbell","18:08.41","Tea Area","M"
"26",26,"Chett Jibben","18:09.81","Lennox","M"
"27",27,"Jamison Gould","18:10.96","Dakota Valley","M"
"28",28,"Marcus Papik","18:11.72","Luverne","M"
"29",29,"Holden Jelen","18:14.01","Tea Area","M"
"30",30,"Cloy McVey","18:18.31","Lennox","M"
"31",31,"Josh Fletcher","18:19.14","SF Christian","M"
"32",32,"Kaden Christian","18:25.01","Canistota","M"
"33",33,"Bennett Wassenaar","18:35.78","SF Christian","M"
"34",34,"Leif Ingebretsen","18:36.56","Luverne","M"
"35",35,"Brayden Karkalik","18:46.55","Dakota Valley","M"
"36",36,"Dylan Ommen","18:51.26","Luverne","M"
"37",37,"Braydan Mangel","18:53.82","Freeman","M"
"38",38,"Alex Langner","18:54.30","Baltic","M"
"39",39,"Maverick Horst","19:03.49","Lennox","M"
"40",40,"Mason Marx","19:08.22","Elk Point-Jefferson","M"
"41",41,"Zach Terrio","19:08.42","Luverne","M"
"42",42,"Geoff Nelson","19:11.70","Dakota Valley","M"
"43",43,"Jonah Klemisch","19:17.94","Tea Area","M"
"44",44,"Peyton Sieber","19:26.05","Tea Area","M"
"45",45,"Erick Buechler","19:41.37","Menno","M"
"46",46,"Kaleb Hemme","19:42.05","Luverne","M"
"47",47,"Cale Cooper","19:44.64","Bon Homme","M"
"48",48,"Lincoln Kippes","19:45.16","Parker","M"
"49",49,"Lucas Hartman","19:46.44","Lennox","M"
"50",50,"Tate VanLaecken","19:48.39","Tea Area","M"
"51",51,"Espyn Klungseth","19:48.73","Beresford","M"
"52",52,"Lane McCune","19:49.00","Freeman","M"
"53",53,"Will Pirak","19:51.06","Gayville-Volin","M"
