"","Place","Name","Time","School","Class"
"1",1,"Luke Rupert","15:34.64","Hill City","M"
"2",2,"Peyton Cast","15:50.82","Douglas","M"
"3",3,"Lane Krautschun","16:00.96","Belle Fourche","M"
"4",4,"Tate Grabow","16:02.36","Hill City","M"
"5",5,"Ty Petrocco","16:06.93","Sturgis Brown","M"
"6",6,"Quinn Bruch","16:14.47","Sturgis Brown","M"
"7",7,"Leighton Aves","16:16.39","Hill City","M"
"8",8,"Sean Shipp","16:21.97","Custer","M"
"9",9,"Wyatt Balliew","16:34.16","Douglas","M"
"10",10,"Brandon Escalante","16:40.55","Hill City","M"
"11",11,"Morgan Papenfuss","16:52.19","Sturgis Brown","M"
"12",12,"Drew Lehman","16:55.54","Custer","M"
"13",13,"Casey Nauta","16:58.16","Spearfish","M"
"14",14,"Justus Funk","17:12.53","Belle Fourche","M"
"15",15,"Taylor Colunga","17:18.22","Sturgis Brown","M"
"16",16,"Austin Drew","17:19.32","Custer","M"
"17",17,"Thomas Anglin","17:34.28","Spearfish","M"
"18",18,"Kian Rusch","17:39.02","Custer","M"
"19",19,"Lennon Clarkson","17:43.35","Belle Fourche","M"
"20",20,"Harley Rivera","17:51.91","Belle Fourche","M"
"21",21,"Aiden Voyles","17:55.57","Belle Fourche","M"
"22",22,"Gavin Chiaroni","17:56.06","Douglas","M"
"23",23,"David Lewis","18:03.38","Custer","M"
"24",24,"Peyton Kallstrom","18:07.04","Douglas","M"
"25",25,"Layke Roberdeau","18:09.46","Spearfish","M"
"26",26,"Dalton Marshall","18:10.31","Custer","M"
"27",27,"Ty Ferguson","18:23.12","Sturgis Brown","M"
"28",28,"Jovan Weigel","18:25.75","Spearfish","M"
"29",29,"John David Carpenter","18:32.08","St. Thomas More","M"
"30",30,"Preston Davis","18:40.79","Spearfish","M"
"31",31,"Bennie Olsen","18:47.82","Douglas","M"
"32",32,"Quentin Miller","18:59.45","Douglas","M"
"33",33,"Kale Fenner","19:05.36","Sturgis Brown","M"
"34",34,"Oden Walding","19:07.16","Belle Fourche","M"
"35",35,"Jack Faulkner","19:14.97","Spearfish","M"
"36",36,"Aiden Williams","19:25.09","Hill City","M"
"37",37,"Hudson Selfridge","19:34.67","RC Christian","M"
"38",38,"Kyler Hemstock","19:51.57","RC Christian","M"
"39",39,"Lyle Roberts","20:09.44","Hot Springs","M"
"40",40,"Ezias Nelson","20:20.89","Lead-Deadwood","M"
"41",41,"Wesley Delaney","21:02.19","RC Christian","M"
"42",42,"Johnny Bossingham","21:09.67","Hot Springs","M"
"43",43,"Canton Gingrass","21:10.29","Hot Springs","M"
"44",44,"Taylen DeBoer","21:32.95","Hot Springs","M"
"45",45,"Martin Lane","21:42.42","Hot Springs","M"
"46",46,"Keian Ladd","21:47.19","RC Christian","M"
"47",47,"Dewayne Mesteth","22:38.03","RC Christian","M"
"48",48,"Jonas Runge","23:13.87","Lead-Deadwood","M"
