"","Place","Name","Time","School","Class"
"1",1,"Mia Wentzy","19:39.25","Brandon Valley","F"
"2",2,"Sarah VanDeBerg","20:03.66","Brandon Valley","F"
"3",3,"Lilian Rude","20:15.71","Brandon Valley","F"
"4",4,"Shelby Bergan","20:17.14","Brandon Valley","F"
"5",5,"Emma Tidemann","20:24.01","Brandon Valley","F"
"6",6,"Ellie Anders","20:50.61","Brandon Valley","F"
"7",7,"Haley Bergan","21:02.67","Brandon Valley","F"
"8",8,"Aubrey Borns","21:07.13","West Central","F"
"9",9,"Maelee Krempges","21:09.29","West Central","F"
"10",10,"Rilyn Jackson","21:12.41","Yankton","F"
"11",11,"Lucy Rozeboom","21:16.72","West Central","F"
"12",12,"Brooklyn Sundermann","21:29.51","West Central","F"
"13",13,"Abby Johanneson","21:31.36","Yankton","F"
"14",14,"Mary Rounds","21:37.58","Yankton","F"
"15",15,"Delaney Youmans","21:52.90","Yankton","F"
"16",16,"Sarah Johnson","21:53.75","West Central","F"
"17",17,"Hadley Larsen","22:19.07","West Central","F"
"18",18,"Drew Caffrey","22:35.78","West Central","F"
"19",19,"Kendall Clayton","22:44.66","Brandon Valley","F"
"20",20,"Aleah Graham","22:57.56","West Central","F"
"21",21,"Shae Rumsey","23:51.66","Yankton","F"
"22",22,"Claire Tereshinski","24:09.98","Yankton","F"
"23",23,"Morgan Becker","24:26.41","Brandon Valley","F"
