"","Place","Name","Time","School","Class"
"1",1,"Joe Cross","15:33.51","Dakota Valley","M"
"2",2,"Levi Vander Leest","16:07.30","SF Christian","M"
"3",3,"Jack Brown","16:10.29","Dakota Valley","M"
"4",4,"Benjamin Strunk","16:22.00","West Central","M"
"5",5,"Bennett Wassenaar","16:25.67","SF Christian","M"
"6",6,"Jonathon Roth","16:27.87","West Central","M"
"7",7,"Dylan Gerdes","16:32.31","Madison","M"
"8",8,"Alex Oberloh","16:35.37","SF Christian","M"
"9",9,"Jackson Prins","16:36.72","SF Christian","M"
"10",10,"Henry Anderson","16:40.93","Vermillion","M"
"11",11,"Josh Fletcher","16:49.71","SF Christian","M"
"12",12,"Gage Beverly","16:55.00","Vermillion","M"
"13",13,"Hunter Morse","16:55.22","Vermillion","M"
"14",14,"Maverick Horst","17:04.98","Lennox","M"
"15",15,"Michael Green","17:13.38","Dakota Valley","M"
"16",16,"Jack Campbell","17:16.12","Tea Area","M"
"17",17,"Jamison Gould","17:16.41","Dakota Valley","M"
"18",18,"Cade Sherard","17:16.80","Lennox","M"
"19",19,"Reid Hammerquist","17:17.32","Tea Area","M"
"20",20,"Cloy McVey","17:24.79","Lennox","M"
"21",21,"Peyton Tetzlaff","17:33.36","West Central","M"
"22",22,"Isaac Koole","17:40.99","SF Christian","M"
"23",23,"Noah Sayler","18:07.68","Lennox","M"
"24",24,"Jacob Peterson","18:10.77","West Central","M"
"25",25,"Mason Marx","18:13.58","Elk Point-Jefferson","M"
"26",26,"Jonah Klemisch","18:16.04","Tea Area","M"
"27",27,"Chett Jibben","18:16.31","Lennox","M"
"28",28,"Brayden Karkalik","18:18.46","Dakota Valley","M"
"29",29,"Jacob Chasing Hawk","18:20.08","Vermillion","M"
"30",30,"Peyton Sieber","18:24.27","Tea Area","M"
"31",31,"Geoff Nelson","18:29.47","Dakota Valley","M"
"32",32,"Holden Jelen","18:35.90","Tea Area","M"
"33",33,"Henry Meyer","18:37.81","Madison","M"
"34",34,"Kade Hruby","18:40.66","West Central","M"
"35",35,"Kyper Hilger","18:50.11","West Central","M"
"36",36,"Lucas Hartman","18:56.84","Lennox","M"
"37",37,"Nathan Hasleton","19:07.88","Madison","M"
"38",38,"Daniel Aldridge","19:08.06","Madison","M"
"39",39,"Dean Harkness","19:09.76","Elk Point-Jefferson","M"
"40",40,"Teagin Gacke","19:21.84","Tri-Valley","M"
"41",41,"Cedric Horst","19:22.76","Canton","M"
"42",42,"Eli Gullickson","19:24.25","Dell Rapids","M"
"43",43,"Zach Bartels","19:31.10","Canton","M"
"44",44,"Tate VanLaecken","19:31.56","Tea Area","M"
"45",45,"Jeremy Bockelman","19:32.37","Canton","M"
"46",46,"Camden Surdez","19:42.27","Canton","M"
"47",47,"Austin Clercx","19:48.01","Elk Point-Jefferson","M"
"48",48,"Frankie Orr","19:53.27","Vermillion","M"
"49",49,"Alex Kayser","20:30.92","Tea Area","M"
"50",50,"Kai Thompson","20:31.88","Madison","M"
"51",51,"Alex Heinemann","20:31.91","Dell Rapids","M"
"52",52,"Micah Decker","20:40.80","Canton","M"
"53",53,"David Ordyna","21:08.48","Vermillion","M"
"54",54,"Alex Opland","21:17.04","Canton","M"
"55",55,"Chase Steurwald","21:34.31","Madison","M"
"56",56,"Jayse Vande Vegte","21:53.51","Elk Point-Jefferson","M"
"57",57,"Vincent Even","21:57.56","Tri-Valley","M"
"58",58,"Aiden Jansen","22:12.64","Elk Point-Jefferson","M"
