,Place,Name,Time,School,Class
1,1,Kaelyn Ulschmid,20:33.56,Arlington,F
2,2,Elizabeth Vogel,21:19.31,Dell Rapids,F
3,3,Emarie Vincent,21:30.44,Arlington,F
4,4,Adalyn Gross,21:44.38,De Smet,F
5,5,Madalyn Madsen,22:04.12,Arlington,F
6,6,Halley Miller,22:23.03,Arlington,F
7,7,Kylee Johnson,22:28.00,Deubrook Area,F
8,8,Cami Wolles,22:37.97,Dell Rapids,F
9,9,Madison Reiff,23:00.97,Dell Rapids,F
10,10,Malayna Hemmen,23:01.31,Elkton-Lake Benton,F
11,11,Lucy Vargas,23:08.53,Dell Rapids,F
12,12,Kimmy Schaefer,23:10.75,Estelline/Hendricks,F
13,13,Seeley VanOverbeke,23:47.06,Arlington,F
14,14,Jada Henriksen,23:56.84,Arlington,F
15,15,Ivy Jaacks,24:21.50,Elkton-Lake Benton,F
16,16,Danelyn Greene,24:22.50,Estelline/Hendricks,F
17,17,Anya Hemmer,24:26.06,Colman-Egan,F
18,18,Mallory Carlson,24:28.18,Iroquois/Lake Preston,F
19,19,Paige Deuter,24:29.66,Dell Rapids,F
20,20,Madde Jensen,24:30.50,Elkton-Lake Benton,F
21,21,Tenley Schulz,24:33.53,Deubrook Area,F
22,22,Charli McCune,24:34.84,De Smet,F
23,23,Jaidynn Giedd,24:38.78,De Smet,F
24,24,Ava Crooks,24:47.97,Deubrook Area,F
25,25,Claire Dagel,25:10.56,Estelline/Hendricks,F
26,26,Izzie Lee,25:18.72,Colman-Egan,F
27,27,Maggie Hausman,25:57.75,Estelline/Hendricks,F
28,28,Kashley Goebel,26:18.15,Arlington,F
29,29,Addison Marone,26:27.22,Arlington,F
30,30,Melody Gilkerson,26:47.00,Oldham-Ramona,F
31,31,Alise Hope,28:02.81,Iroquois/Lake Preston,F
32,32,Isabel Knutson,29:08.22,Deubrook Area,F
33,33,Sarah DeWulf,31:32.59,Oldham-Ramona,F
34,34,Ancora Gilkerson,31:43.81,Oldham-Ramona,F
35,35,Madison Hill,32:28.41,Iroquois/Lake Preston,F
