,Place,Name,Time,School,Class
1,1,Cooper Schaelfer,17:55.1,Estelline/Hendricks,M
2,2,Landen Johnson,18:52.6,Deubrook Area,M
3,3,Lance Kaufmann,19:02.0,Arlington,M
4,4,Kyler Marson,19:03.8,Estelline/Hendricks,M
5,5,Camden Tebay,19:21.7,Dell Rapids,M
6,6,Camden Hobbs,19:30.1,Elkton-Lake Benton,M
7,7,Matthew heinemann,19:32.8,Dell Rapis,M
8,8,Nate Timm,19:43.7,Elkton-Lake Benton,M
9,9,Jaxon Quail,19:50.5,Deubrook Area,M
10,10,Colton Trooien,19:55.8,Deubrook Area,M
11,11,Conner Giedd,19:56.2,De Smet,M
12,12,August Dagel,20:11.8,Estelline/Hendricks,M
13,13,Chase henriksen,20:17.3,Arlington,M
14,14,Charlie Olsen,20:26.0,Deubrook Area,M
15,15,Nolan Eidson,20:27.5,Castlewood,M
16,16,Riley Miller,20:29.3,Arlington,M
17,17,Tyrus Schulz,20:30.5,Deubrook Area,M
18,18,Dorian Kaufman,20:39.3,Arlington,M
19,19,Caedmon Bressler,20:39.9,Elkton-Lake Benton,M
20,20,Anghert Hernandez,20:52.0,Elkton-Lake Benton,M
21,21,Jordan Botkin,21:03.0,De Smet,M
22,22,AJ Wienk,21:09.0,Iroquois/Lak,M
23,23,Gage Landmark,21:12.3,Deubrook Area,M
24,24,Chase Temme,21:27.3,De Smet,M
25,25,Colby Burns,21:53.1,Arlington,M
26,26,Rylan Skorczewski,21:56.1,Estelline/Hendricks,M
27,27,Gabriel Aughenbaugh,21:59.4,De Smet,M
28,28,Zayd Anderson,22:07.6,Oldham-Ramon,M
29,29,Tyce Ryan,22:37.8,Colman-Egan,M
30,30,Case Carlson,22:39.0,Iroquois/Lak,M
31,31,Wanner Enriquez,23:22.5,Elkton-Lake Benton,M
32,32,James Lesher,23:45.6,Estelline/Hendricks,M
33,33,Nathan Enninga,24:04.0,Iroquois/Lak,M
34,34,Levi Gaul,24:10.7,Dell Rapids,M
35,35,Spencer Antonen,24:35.6,Arlington,M
36,36,Connor Johnson,28:58.6,De Smet,M
