,Place,Name,Time,School,Class
1,1,Kaleb Foltz,17:29.61,Tri-State,M
2,2,Milo Sumption,18:34.90,Frederick Area,M
3,3,Aidan Thurber,19:08.62,Ellendale,M
4,4,Austin Jenkins,19:26.46,Leola,M
5,5,Kalen Godel,19:53.21,Langford Area,M
6,6,Winston Clark,19:56.38,Frederick Area,M
7,7,Howard Sumption,19:59.47,Frederick Area,M
8,8,Jayven Maag,20:07.81,Waubay/Summit,M
9,9,Carson Vavruska,20:13.06,Florence/Henry,M
10,10,Evan Wagner,20:16.77,Ellendale,M
11,11,Noah Kippley,20:31.41,Frederick Area,M
12,12,Titus Kippley,20:31.68,Frederick Area,M
13,13,Eli Wagner,20:40.74,Ellendale,M
14,14,Elijah Alvear,20:50.60,Aberdeen Christian,M
15,15,Adrian Flisrand,20:55.94,Florence/Henry,M
16,16,Joseph Richards,21:08.95,Aberdeen Christian,M
17,17,Amsden Piotter,21:34.96,Tri-State,M
18,18,Grant Anderson,21:51.79,Leola,M
19,19,Austin Keller,21:54.69,Florence/Henry,M
20,20,Zach Schroeder,22:12.54,Florence/Henry,M
21,21,AJ Wienk,22:22.62,Iroquois/Lake Preston,M
22,22,Gavin Kroll,22:38.33,Groton Area,M
23,23,Landon Schmidt,22:46.20,Ellendale,M
24,24,Joshua Klein,22:47.21,Tri-State,M
25,25,John Blondo,23:06.49,Ellendale,M
26,26,Nolan Thuringer,23:07.14,Waubay/Summit,M
27,27,Kadin Raguse,23:08.15,Tri-State,M
28,28,Jace Bender,23:10.62,Leola,M
29,29,Nathan Enninga,23:18.81,Iroquois/Lake Preston,M
30,30,Nathan Unzen,23:58.33,Groton Area,M
31,31,Isaiah Sandau,25:19.90,Florence/Henry,M
32,32,Cobin Raguse,25:24.14,Tri-State,M
33,33,Leo Madsen,25:35.25,Aberdeen Roncalli,M
34,34,Tucker Steffens,25:42.98,Tri-State,M
35,35,Bo Brandriet,27:11.77,Florence/Henry,M
36,36,Samuel Reis,27:13.00,Ellendale,M
37,37,Kason Oswald,29:37.21,Groton Area,M
38,38,Ethan Gonsor,30:21.84,Aberdeen Roncalli,M
39,39,Aiden Miller,30:41.52,Ellendale,M
40,40,Joey Gross,30:42.20,Ellendale,M
41,41,Logan Clocksene,36:41.82,Groton Area,M
