,Place,Name,Time,School,Class
1,1,Morgan Sumption,20:46.92,Frederick Area,F
2,2,Madison Zirbel,21:15.60,Waubay/Summit,F
3,3,Jillian Ellwein,21:58.70,Frederick Area,F
4,4,Ryelle Gilbert,22:08.16,Groton Area,F
5,5,Hazel Kannegaiter,22:21.22,Aberdeen Roncalli,F
6,6,Laura Sumption,22:36.37,Frederick Area,F
7,7,Sofia Losure,23:10.81,Frederick Area,F
8,8,Emma Caulfield,23:26.98,Florence/Henry,F
9,9,Clare Peterson,23:30.42,Aberdeen Roncalli,F
10,10,Katie Bretsch,23:34.09,Frederick Area,F
11,11,Madison Stemwedel,24:03.50,Florence/Henry,F
12,12,Mallory Carlson,24:09.28,Iroquois/Lake Preston,F
13,13,Greta Peterson,24:10.82,Aberdeen Roncalli,F
14,14,Gabby Millard,24:15.38,Frederick Area,F
15,15,Sydney Holmes,24:45.92,Groton Area,F
16,16,Eva Benike,24:59.90,Waubay/Summit,F
17,17,Brooke Hlavacek,25:17.34,Florence/Henry,F
18,18,Griffyn Muller,25:35.86,Florence/Henry,F
19,19,Evelyn Martin,25:54.17,Aberdeen Roncalli,F
20,20,Ashlyn Angermeier,28:06.49,Florence/Henry,F
21,21,Jorja Nelsen,28:24.88,Florence/Henry,F
22,22,Jeris Stark,29:06.53,Britton-Hecla,F
23,23,Lucy Jones,32:27.19,Aberdeen Christian,F
24,24,Emily Clark,32:55.32,Groton Area,F
