,Place,Name,Time,School,Class
1,1,Dannika Kaup,19:59.45,Potter County,F
2,2,Autumn Fallis,20:19.87,Highmore,F
3,3,Madisyn Gellhaus,20:29.08,Ipswich,F
4,4,Emma Schlachter,20:30.81,Potter County,F
5,5,Jadyn Ahlemeier,20:31.92,Potter County,F
6,6,Devyn Van Roekel,20:43.04,Pierre T.F. Riggs,F
7,7,Paige Ahlemeier,21:13.26,Potter County,F
8,8,Kaysen Magee,21:35.41,Stanley County,F
9,9,Jaycee Stevens,21:46.66,Potter County,F
10,10,Gracyn Kadlec,21:53.75,Ipswich,F
11,11,Olivia Hadrick,21:55.72,Faulkton,F
12,12,Gabby Werdel,21:57.22,Miller,F
13,13,Alexis Roesler,22:04.25,Wessington Springs,F
14,14,Reese Hadrick,22:10.97,Faulkton,F
15,15,Grace Roth,22:17.50,North Central,F
16,16,Rhyann Roseland,22:24.70,Faulkton,F
17,17,Melanie Dallenbach,22:32.86,North Central,F
18,18,Brynly Huber,22:35.16,Herreid/Selby Area,F
19,19,Rachel Nemec,22:39.01,Stanley County,F
20,20,Mikaela Malsom,22:42.59,North Central,F
21,21,Kassandra Abbas,22:58.28,North Central,F
22,22,Austina Sorensen,23:10.47,Faulkton,F
23,23,Jentry Hubner,23:24.09,Herreid/Selby Area,F
24,24,Taylee Dartt,23:33.25,Wall,F
25,25,Adelynne Ihnen,23:49.48,Hitchcock-Tulare,F
26,26,Allie Gortmaker,23:54.06,Miller,F
27,27,Sarah Fosheim,24:03.38,Stanley County,F
28,28,Jodyn Bawek,24:28.07,Hitchcock-Tulare,F
29,29,Masynn Mebius,24:39.95,Wessington Springs,F
30,30,Kim Sievers,25:41.47,Wolsey-Wessington,F
31,31,Taytum Gortmaker,26:14.16,Miller,F
32,32,Ella Kolousek,26:30.42,Wessington Springs,F
33,33,Joy Taylor,27:38.37,Kadoka,F
