,Place,Name,Time,School,Class
1,1,Alex Schumacher,15:53.20,Miller,M
2,2,Pierce Baumberger,16:07.56,Miller,M
3,3,Nicholas Schlachter,17:01.71,Potter County,M
4,4,Paul Gutenkauf,17:38.76,Aberdeen Roncalli,M
5,5,Gavin Hirsch,17:45.83,Herreid/Selby Area,M
6,6,Isaiah Gortmaker,17:46.44,Miller,M
7,7,Gabe Johnson,17:56.23,North Central,M
8,8,Spencer Sargent,17:56.66,Stanley County,M
9,9,Xavier Kadlec,18:03.88,Ipswich,M
10,10,Anthony Miller,18:10.48,North Central,M
11,11,Matt Peterson,18:21.43,Aberdeen Roncalli,M
12,12,Austin Jenkins,18:37.18,Leola,M
13,13,Brooks McPeak,18:44.38,Highmore-Harrold,M
14,14,Logan Vetch,18:45.35,Mobridge-Pollock,M
15,15,Trey Thieman,18:50.20,SBA,M
16,16,Xavier Sanchez-Gonzalez,18:59.29,Timber Lake,M
17,17,Ben Bradley,19:06.47,Aberdeen Roncalli,M
18,18,Drew Arbach,19:06.98,North Central,M
19,19,Avery Wells,19:07.75,North Central,M
20,20,Keegan Miller,19:29.79,North Central,M
21,21,Isaac Price,19:33.71,Aberdeen Roncalli,M
22,22,Tyson Peterson,19:43.10,Stanley County,M
23,23,Ashton Waliser,19:48.89,McIntosh,M
24,24,Theo Haerter,19:52.33,North Central,M
25,25,Tyler Gellhaus,20:04.25,Ipswich,M
26,26,Carson Stephenson,20:19.67,Highmore-Harrold,M
27,27,Keegan Russell,20:22.74,Herreid/Selby Area,M
28,28,Josh Wilken,20:23.05,SBA,M
29,29,Jonas Olson,21:15.69,Suly Buttes,M
30,30,Aidan Ferens,21:24.62,Highmore-Harrold,M
31,31,Jaymin VanderWerff,22:52.44,Miller,M
