"","Place","Name","Time","School","Class"
"1",1,"Addalai DeKam","15:52.65","Sioux Falls Lincoln","F"
"2",2,"Leni Olson","16:10.48","Sioux Falls Lincoln","F"
"3",3,"Audrey Weiss","16:26.64","Sioux Falls Lincoln","F"
"4",4,"Ansley Buus","16:29.04","SF Washington","F"
"5",5,"Bella Dittmer","16:42.58","SF Roosevelt","F"
"6",6,"Marissa Bouwman","16:42.71","SF Washington","F"
"7",7,"Emmeline Murray","16:51.06","Sioux Falls Lincoln","F"
"8",8,"Ella Bartz","16:53.30","Sioux Falls Lincoln","F"
"9",9,"Mia Kadi","16:57.73","Sioux Falls Lincoln","F"
"10",10,"Ruby Bouwman","16:58.95","Sioux Falls Lincoln","F"
"11",11,"Siri Knutson","17:08.12","SF Washington","F"
"12",12,"Emma Anderson","17:09.73","SF Roosevelt","F"
"13",13,"Stella Larson","17:12.20","SF Roosevelt","F"
"14",14,"Addisyn Anderson","17:27.49","Sioux Falls Lincoln","F"
"15",15,"Bethany Jespersen","17:29.00","Sioux Falls Lincoln","F"
"16",16,"Kaylor Nekl","17:32.68","Sioux Falls Lincoln","F"
"17",17,"McKinley Glanville","17:45.18","Sioux Falls Lincoln","F"
"18",18,"Naomi Rock","17:53.52","SF Washington","F"
"19",19,"Carly Spridgen","17:55.83","Sioux Falls Lincoln","F"
"20",20,"Jasmine Jennewein","17:59.17","SF Jefferson","F"
"21",21,"Emily Stahlberg","18:03.54","SF Washington","F"
"22",22,"Sofia Kovalenko","18:05.47","SF Roosevelt","F"
"23",23,"Ellie Mergen","18:17.92","SF Jefferson","F"
"24",24,"Anna Spanos","18:18.16","Sioux Falls Lincoln","F"
"25",25,"Reagan Ostransky","18:20.62","Sioux Falls Lincoln","F"
"26",26,"Laila Miller","18:22.41","Sioux Falls Lincoln","F"
"27",27,"Yom Kuol","18:26.48","SF Washington","F"
"28",28,"Soraya Luschas","18:30.94","Sioux Falls Lincoln","F"
"29",29,"Courtney Ulrich","18:38.97","Sioux Falls Lincoln","F"
"30",30,"Moa Hein","18:43.71","Sioux Falls Lincoln","F"
"31",31,"Gabby DeVries","18:43.80","SF Washington","F"
"32",32,"Kinley Donaldson","19:27.64","SF Washington","F"
"33",33,"Jessica Ung","19:31.12","Sioux Falls Lincoln","F"
"34",34,"Macey Wigg","19:56.84","SF Jefferson","F"
"35",35,"Callie Towe","20:12.36","Sioux Falls Lincoln","F"
"36",36,"Xaria Gurath","20:30.12","SF Washington","F"
"37",37,"Logan Grace Sanborn","22:01.32","Sioux Falls Lincoln","F"
"38",38,"Tara Engelson","22:21.36","Sioux Falls Lincoln","F"
"39",39,"Samantha DeLay","24:05.39","SF Washington","F"
"40",40,"Tirzah Rojas","24:47.15","Sioux Falls Lincoln","F"
