,Place,Name,Time,School,Class
1,1,Nicholas Schlachter,17:58.5,Potter County,M
2,2,Wamni Kills Crow,18:51.7,McLaughlin,M
3,3,Gavin Hirsch,18:58.8,Herreid/Selby Area,M
4,4,Korbin Stark,19:02.8,Faulkton Area,M
5,5,Hayen Bentley,19:04.7,Lemmon,M
6,6,Mason Kaiser,19:07.8,Faulkton Area,M
7,7,Logan Vetch,19:23.4,Mobridge-Pollock,M
8,8,Xavier Kadlec,19:30.0,Ipswich,M
9,9,Gage Anderson,19:33.9,Lemmon,M
10,10,Xavier Sanchez-Gonzalez,19:42.9,Timber Lake,M
11,11,Anthony Miller,19:46.5,North Central,M
12,12,Damien Clown,20:00.4,Cheyenne-Eagle Butte,M
13,13,Ashton Waliser,20:05.4,McIntosh,M
14,14,Avery Wells,20:06.3,North Central,M
15,15,Jackson Taken Alive,20:13.1,McLaughlin,M
16,16,Dre Arbach,20:17.8,North Central,M
17,17,Trigg Odenbach,20:44.9,Lemmon,M
18,18,Reymin YellowEarrings,20:45.4,McLaughlin,M
19,19,Sean Seurer,20:49.5,Potter County,M
20,20,Theo Haerter,21:15.6,North Central,M
21,21,Charlie Hornick,21:54.7,Timber Lake,M
22,22,Logan Niederbaumer,21:55.8,Faulkton Area,M
23,23,Donny Forster,22:03.9,Lemmon,M
24,24,Brooks Foss,22:14.9,Lemmon,M
25,25,Kristopher Butcher,22:22.4,Cheyenne-Eagle Butte,M
26,26,Keegan Russell,22:47.9,Herreid/Selby Area,M
27,27,Tate Bray,26:12.7,Faulkton Area,M
28,28,Cole Noon,26:14.5,Faulkton Area,M
29,29,Jay'den Gomez,26:16.8,Tiospaye Topa,M
30,30,Richard Smith,26:21.4,Tiospaye Topa,M
31,31,Muzyk Grey Eagle,27:23.0,Tiospaye Topa,M
32,32,Matthew Neely,27:24.0,Herreid/Selby Area,M
