"","Place","Name","Time","School","Class"
"1",1,"BreAna Aske","21:00.16","Jones County","F"
"2",2,"Madilyn Wulf","22:29.49","New Underwood","F"
"3",3,"Aubrey Tucker","23:34.53","Jones County","F"
"4",4,"Addison Kierl","23:47.45","Jones County","F"
"5",5,"Taylee Dartt","24:11.03","Wall","F"
"6",6,"Rosa Ainslie","25:08.15","Bennett County","F"
"7",7,"Sophie Dowling","25:13.76","Jones County","F"
"8",8,"Callie Casjens","27:58.25","Wall","F"
"9",9,"Joy Taylor","28:10.94","Kadoka Area","F"
"10",10,"Terryn Shearer","29:00.44","Wall","F"
