,Place,Name,Time,School,Class
1,1,Payton Brown,17:17.60,Milbank,M
2,2,Isaac Graham,18:05.00,Milbank,M
3,3,Bryan Meyer,18:22.75,Milbank,M
4,4,Paul Gutenkauf,18:43.81,Aberdeen Roncalli,M
5,5,Cooper Pommer,18:50.30,Clark/Willow Lake,M
6,6,Caden Hourigan,18:51.20,Deuel,M
7,7,Tyson Hagberg,18:59.07,Deuel,M
8,8,Beckham Berry,19:12.70,Milbank,M
9,9,Matthew Peterson,19:24.45,Aberdeen Roncalli,M
10,10,Ryder Graff,19:39.05,Sisseton,M
11,11,Taylor Merkel,19:42.27,Clark/Willow Lake,M
12,12,Grant Van Peursem,19:42.78,Milbank,M
13,13,Damian Severson,19:43.98,Clark/Willow Lake,M
14,14,Payton Moore,19:52.60,Redfield,M
15,15,Caleb Ronne,20:02.38,Deuel,M
16,16,Bennett Graham,20:02.91,Milbank,M
17,17,Isaac Price,20:03.68,Aberdeen Roncalli,M
18,18,Ben Bradley,20:06.89,Aberdeen Roncalli,M
19,19,Tacey Miller,20:37.58,Webster Area,M
20,20,Dominic Kluckman,20:46.70,Deuel,M
21,21,Keondray White,20:49.54,Sisseton,M
22,22,Rylan Wendland,20:50.45,Milbank,M
23,23,Jose Hernandez,21:05.25,Milbank,M
24,24,Daniel Gums,21:09.00,Deuel,M
25,25,Logan Seefeldt,21:23.87,Clark/Willow Lake,M
26,26,Gavin Mattson,21:33.36,Deuel,M
27,27,Oliver Reitz,21:55.73,Clark/Willow Lake,M
28,28,Grady Wagner,21:59.61,Webster Area,M
29,29,Jude Bent,22:00.04,Aberdeen Roncalli,M
30,30,Jacob Johnson,22:23.87,Milbank,M
31,31,Waylan Olson,22:25.08,Clark/Willow Lake,M
32,32,Alec Garrett,22:32.34,Webster Area,M
33,33,Beau Price,22:34.58,Aberdeen Roncalli,M
34,34,Jayden Schwan,22:40.26,Groton Area,M
35,35,Gavin Kroll,22:42.22,Groton Area,M
36,36,Alex Reil,23:10.46,Clark/Willow Lake,M
37,37,Nathan Unzen,23:13.55,Groton Area,M
38,38,Aksel Gjerde,23:44.48,Clark/Willow Lake,M
39,39,Jaxon Nimmer,24:05.87,Webster Area,M
40,40,Garrett Schultz,24:21.74,Groton Area,M
41,41,Blaise McGregor,24:37.42,Webster Area,M
42,42,Reese Ziegler,26:06.22,Tiospa Zina,M
