,Place,Name,Time,School,Class
1,1,Ella Boekelheide,9999,Northwestern,F
2,2,Juna Ramey,9999,Aberdeen Central,F
3,3,Devyn Van Roekel,9999,Pierre,F
4,4,Mason Berg,9999,Pierre,F
5,5,Harper Shaffer,9999,Pierre,F
6,6,Jayne Lees,9999,Pierre,F
7,7,Gwen Richter,9999,Pierre,F
8,8,Jazzlyn Rombough,9999,Pierre,F
9,9,Tara Blachford,9999,Northwestern,F
10,10,Elaina Rounds,9999,Pierre,F
11,11,Charlee Williams-Smith,9999,Pierre,F
12,12,Alexis Ketterling,9999,Aberdeen Central,F
13,13,Avery Lisburg,9999,Pierre,F
14,14,Allyson Bauer,9999,Pierre,F
15,15,Morgan VanVeen,9999,Aberdeen Central,F
16,16,Alivia Burgard,9999,Aberdeen Central,F
17,17,Liz Preszler,9999,Aberdeen Central,F
18,18,Sophia Troske,9999,Northwestern,F
19,19,Angie Lopez,9999,Aberdeen Central,F
20,20,Kaylie Peldo,9999,Aberdeen Central,F
21,21,Kiana Joerger,9999,Aberdeen Central,F
22,22,Aglaia Ramey,9999,Aberdeen Central,F
