,Place,Name,Time,School,Class
1,1,Jeffery Boschee,17:01.2,Sanborn Central/Woonsocket,M
2,2,Karter Weber,17:36.4,Mount Vernon/Plankinton,M
3,3,Hudson Schmidt,17:51.5,Mount Vernon/Plankinton,M
4,4,Trysten Eide,18:02.1,Mount Vernon/Plankinton,M
5,5,Jace Heumiller,18:12.0,McCook Central/Montrose,M
6,6,Otto Uberty,18:16.8,McCook Central/Montrose,M
7,7,Paul Kaffar,18:22.2,McCook Central/Montrose,M
8,8,Sam Baruth,18:55.3,Sanborn Central/Woonsocket,M
9,9,Edwyn Reyes,19:21.3,Wolsey-Wessington,M
10,10,Grant Timm,19:22.0,Wolsey-Wessington,M
11,11,Ranick Fjerstad,19:48.4,Wessington Springs,M
12,12,Reed Woerner,19:50.0,Corsica-Stickney,M
13,13,Vanderlae Pohdradksy,19:58.8,Mount Vernon/Plankinton,M
14,14,Brodie Smith,20:03.0,Mount Vernon/Plankinton,M
15,15,Brayden Bordewyk,20:27.0,Corsica-Stickney,M
16,16,Carter Hitchcock,20:42.2,Sanborn Central/Woonsocket,M
17,17,Tucker Thompson,20:54.0,Wessington Springs,M
18,18,Ethan VandenHoek,21:12.0,Corsica-Stickney,M
19,19,Cody Heinz,22:15.4,McCook Central/Montrose,M
20,20,Tate Bair,22:54.0,Marty,M
21,21,Novi Arrow,22:54.0,Marty,M
22,22,Isaiah Keeble,25:32.5,Marty,M
23,23,Mathias Lindgren,26:11.3,Sanborn Central/Woonsocket,M
