,Place,Name,Time,School,Class
1,1,Kaleb Foltz,17:33.69,Tri-State,M
2,2,Lincoln Adair,17:39.18,Lisbon,M
3,3,Cooper Pommer,18:39.80,Clark/Willow Lake,M
4,4,Martin Plenty Chief,18:52.20,Wakpala,M
5,5,Thad Kratz,18:54.97,Great Plains,M
6,6,Caden Hourigan,19:16.23,Deuel,M
7,7,Tyson Hagberg,19:16.81,Deuel,M
8,8,Matthew Peterson,19:25.33,Aberdeen Roncalli,M
9,9,Sam Manian,19:34.03,Great Plains,M
10,10,Carson Vavruska,19:35.76,Florence/Henry,M
11,11,Johnny Greer,19:36.26,Lisbon,M
12,12,Jayven Maag,19:44.36,Waubay/Summit,M
13,13,Paul Gutenkauf,19:46.88,Aberdeen Roncalli,M
14,14,Payton Moore,19:47.28,Redfield,M
15,15,Ryder Graff,20:01.18,Sisseton,M
16,16,Carter Hinners,20:13.44,Great Plains,M
17,17,Daniel Gums,20:18.68,Deuel,M
18,18,Caleb Ronne,20:19.67,Deuel,M
19,19,Damian Severson,20:21.36,Clark/Willow Lake,M
20,20,Josiah Wiebe,20:27.17,Hitchcock-Tulare,M
21,21,Taylor Merkel,20:33.80,Clark/Willow Lake,M
22,22,Isaiah Berg,20:40.53,Great Plains,M
23,23,Isaac VanScharrel,20:54.06,Hitchcock-Tulare,M
24,24,Joseph Richards,20:57.73,Aberdeen Christian,M
25,25,Matthew Wehseler,21:08.05,Lisbon,M
26,26,Carson Qual,21:09.49,Lisbon,M
27,27,Amsden Piotter,21:12.52,Tri-State,M
28,28,Ben Bradley,21:13.15,Aberdeen Roncalli,M
29,29,Keondray White,21:24.31,Sisseton,M
30,30,Elijah Alvear,21:24.97,Aberdeen Christian,M
31,31,Grady Wagner,21:25.66,Webster Area,M
32,32,Ayden McNea,21:26.74,Lisbon,M
33,33,Tacey Miller,21:41.65,Webster Area,M
34,34,Nolan Thuringer,21:47.44,Waubay/Summit,M
35,35,Dominic Kluckman,21:49.32,Deuel,M
36,36,Seth Grams,21:52.32,Great Plains,M
37,37,Kadin Raguse,22:15.44,Tri-State,M
38,38,Marshall Weigelt,22:25.81,Lisbon,M
39,39,Joshua Klein,22:30.95,Tri-State,M
40,40,Gavin Kroll,22:39.51,Groton Area,M
41,41,Logan Seefeldt,22:49.53,Clark/Willow Lake,M
42,42,Zach Schroeder,22:50.69,Florence/Henry,M
43,43,Oliver Reitz,22:52.10,Clark/Willow Lake,M
44,44,Jett Krueger,23:08.67,Tri-State,M
45,45,Jaxon Nimmer,23:09.55,Webster Area,M
46,46,Colby Maus,23:09.84,Lisbon,M
47,47,Logan McKee,23:34.71,Wakpala,M
48,48,Jayden Schwan,23:38.19,Groton Area,M
49,49,Landon Czerwan,23:40.11,Great Plains,M
50,50,Marcus Kratz,23:41.44,Great Plains,M
51,51,Sawyer Froemke,23:54.72,Lisbon,M
52,52,Waylan Olson,23:59.73,Clark/Willow Lake,M
53,53,Aksel Gjerde,24:08.36,Clark/Willow Lake,M
54,54,Micah Froemke,24:22.24,Lisbon,M
55,55,Zach Moran,24:28.49,Wakpala,M
56,56,Beau Price,24:43.64,Aberdeen Roncalli,M
57,57,Ethan Weigelt,24:54.73,Lisbon,M
58,58,Nathan Unzen,25:26.60,Groton Area,M
59,59,Bo Brandriet,25:38.80,Florence/Henry,M
60,60,Blaise McGregor,26:40.47,Webster Area,M
61,61,Reese Ziegler,32:28.69,Tiospa Zina,M
62,62,Kason Oswald,32:28.69,Groton Area,M
63,63,Logan Clocksene,37:22.80,Groton Area,M
