"","Place","Name","Time","School","Class"
"1",1,"Luke Rupert","15:26.51","Hill City","M"
"2",2,"Lane Krautschun","15:47.72","Belle Fourche","M"
"3",3,"Payton Brown","15:52.41","Milbank","M"
"4",4,"Pierce Baumberger","15:57.65","Miller","M"
"5",5,"Leighton Aves","15:58.76","Hill City","M"
"6",6,"Sean Shipp","16:00.17","Custer","M"
"7",7,"Jack Brown","16:02.14","Dakota Valley","M"
"8",8,"Tate Grabow","16:02.47","Hill City","M"
"9",9,"Joe Cross","16:12.64","Dakota Valley","M"
"10",10,"Levi Vander Leest","16:16.04","SF Christian","M"
"11",11,"Benjamin Strunk","16:17.91","West Central","M"
"12",12,"Brandon Escalante","16:24.29","Hill City","M"
"13",13,"Bennett Wassenaar","16:27.80","SF Christian","M"
"14",14,"Alex Oberloh","16:28.18","SF Christian","M"
"15",15,"Jonathon Roth","16:28.82","West Central","M"
"16",16,"Alex Schumacher","16:30.05","Miller","M"
"17",17,"Kaleb Foltz","16:32.16","Tri-State","M"
"18",18,"Jackson Prins","16:32.35","SF Christian","M"
"19",19,"Drew Lehman","16:37.10","Custer","M"
"20",20,"Aiden Voyles","16:41.18","Belle Fourche","M"
"21",21,"Joseph Laprath","16:44.98","Winner","M"
"22",22,"Dylan Gerdes","16:45.76","Madison","M"
"23",23,"James Batchelor","16:46.29","Milbank","M"
"24",24,"Bryan Meyer","16:46.50","Milbank","M"
"25",25,"Lennon Clarkson","16:47.63","Belle Fourche","M"
"26",26,"Justus Funk","16:49.49","Belle Fourche","M"
"27",27,"Gage Beverly","16:55.93","Vermillion","M"
"28",28,"Evan Bartelt","16:57.14","Ethan/Parkston","M"
"29",29,"Isaac Graham","17:07.78","Milbank","M"
"30",30,"Jamison Gould","17:10.73","Dakota Valley","M"
"31",31,"Cooper Schaefer","17:11.14","Estelline/Hendricks","M"
"32",32,"Kian Rusch","17:12.91","Custer","M"
"33",33,"Joshua Fletcher","17:14.50","SF Christian","M"
"34",34,"Jack Campbell","17:19.40","Tea Area","M"
"35",35,"Henry Anderson","17:22.32","Vermillion","M"
"36",36,"Noah Sayler","17:23.36","Lennox","M"
"37",37,"Austin Drew","17:24.95","Custer","M"
"38",38,"Jessup Pederson","17:25.26","Dupree","M"
"39",39,"Reid Hammerquist","17:25.53","Tea Area","M"
"40",40,"Tayshaun Cudmore","17:28.81","Dupree","M"
"41",41,"Jacob Chasing Hawk","17:31.70","Vermillion","M"
"42",42,"Isaac Koole","17:32.22","SF Christian","M"
"43",43,"Hunter Morse","17:33.50","Vermillion","M"
"44",44,"Gabe Johnson","17:33.72","North Central","M"
"45",45,"Lionel Hinson","17:34.48","RC Christian","M"
"46",46,"Jayden Taken Alive","17:35.14","McLaughlin","M"
"47",47,"Wamni Kills Crow","17:35.44","McLaughlin","M"
"48",48,"Walter Graesser","17:36.64","Platte-Geddes","M"
"49",49,"Harley Rivera","17:37.94","Belle Fourche","M"
"50",50,"Jacob Peterson","17:39.24","West Central","M"
"51",51,"Hunter Penn","17:39.85","Beresford","M"
"52",52,"Maverick Horst","17:40.15","Lennox","M"
"53",53,"Espyn Klungseth","17:40.25","Beresford","M"
"54",54,"Anthony Miller","17:40.34","North Central","M"
"55",55,"Carson Wosje","17:42.09","Sioux Valley","M"
"56",56,"Peyton Tetzlaff","17:44.79","West Central","M"
"57",57,"Cade Sherard","17:45.59","Lennox","M"
"58",58,"Park Sinclair","17:47.08","Kimball/White Lake","M"
"59",59,"Michael Green","17:49.71","Dakota Valley","M"
"60",60,"Hudson Schmidt","17:49.76","Mount Vernon/Pla","M"
"61",61,"David Brock","17:50.82","Ethan/Parkston","M"
"62",62,"Chett Jibben","17:52.54","Lennox","M"
"63",63,"Spencer Olsen","17:52.57","Dupree","M"
"64",64,"Isaiah Gortmaker","17:54.13","Miller","M"
"65",65,"Caden Pourier","17:54.79","Red Cloud","M"
"66",66,"Thad Kratz","18:03.40","Great Plains Lut","M"
"67",67,"Aiden Williams","18:10.24","Hill City","M"
"68",68,"Caden Hourigan","18:10.27","Deuel","M"
"69",69,"Drew Arbach","18:11.43","North Central","M"
"70",70,"Holden Jelen","18:11.91","Tea Area","M"
"71",71,"Paul Gutenkauf","18:13.21","Aberdeen Roncalli","M"
"72",72,"Sam Byers","18:13.78","Chamberlain","M"
"73",73,"Trysten Eide","18:15.74","Mount Vernon/Pla","M"
"74",74,"Kyle Gronewold","18:17.23","Baltic","M"
"75",75,"Cloy McVey","18:18.62","Lennox","M"
"76",76,"Cooper Pommer","18:19.67","Clark/Willow Lake","M"
"77",77,"Jonah Klemisch","18:19.76","Tea Area","M"
"78",78,"Tyson Hagberg","18:21.17","Deuel","M"
"79",79,"Dalton Marshall","18:22.63","Custer","M"
"80",80,"Carson Vavruska","18:28.73","Florence/Henry","M"
"81",81,"Brenton Westberry","18:28.85","Flandreau","M"
"82",82,"Kade Hruby","18:32.07","West Central","M"
"83",83,"Geoff Nelson","18:35.78","Dakota Valley","M"
"84",84,"Brayden Karkalik","18:36.77","Dakota Valley","M"
"85",85,"Ryder Graff","18:41.97","Sisseton","M"
"86",86,"Sam Manian","18:44.47","Great Plains Lut","M"
"87",87,"Jackson Wiles","18:45.32","Custer","M"
"88",88,"John Titus Isakson","18:45.91","Hill City","M"
"89",89,"Lucas Hartman","18:47.74","Lennox","M"
"90",90,"Beckham Berry","18:49.47","Milbank","M"
"91",91,"Kyper Hilger","18:52.02","West Central","M"
"92",92,"Avery Wells","18:52.33","North Central","M"
"93",93,"John David Carpenter","18:52.47","St. Thomas More","M"
"94",94,"Carson Vanden Berge","18:53.93","Platte-Geddes","M"
"95",95,"Logan Vetch","18:54.99","Mobridge-Pollock","M"
"96",96,"Taylor Merkel","18:56.15","Clark/Willow Lake","M"
"97",97,"Damian Severson","18:59.02","Clark/Willow Lake","M"
"98",98,"Frankie Orr","19:04.89","Vermillion","M"
"99",99,"Grant Van Peursem","19:06.63","Milbank","M"
"100",100,"Chase Hurd","19:08.95","Miller","M"
"101",101,"Spencer Sargent","19:14.66","Stanley County","M"
"102",102,"Oden Walding","19:19.11","Belle Fourche","M"
"103",103,"Payton Moore","19:20.35","Redfield","M"
"104",104,"Reymin YellowEarrings","19:23.83","McLaughlin","M"
"105",105,"Tate VanLaecken","19:29.38","Tea Area","M"
"106",106,"Aaron Ingerson","19:31.42","North Central","M"
"107",107,"Alex Langner","19:35.20","Baltic","M"
"108",108,"Jackson Taken Alive","19:37.52","McLaughlin","M"
"109",109,"Jayven Maag","19:44.77","Waubay/Summit","M"
"110",110,"Alex Kayser","19:46.52","Tea Area","M"
"111",111,"Jason Arbach","19:47.95","North Central","M"
"112",112,"Jeffery Boschee","19:58.59","Sanborn Cent/Woo","M"
"113",113,"Caleb Ronne","20:09.10","Deuel","M"
"114",114,"Dominic Kluckman","20:13.02","Deuel","M"
"115",115,"Jack Krell","20:19.78","Vermillion","M"
"116",116,"Daniel Gums","20:19.92","Deuel","M"
"117",117,"Amsden Piotter","20:27.13","Tri-State","M"
"118",118,"Logan Seefeldt","20:35.64","Clark/Willow Lake","M"
"119",119,"Oliver Reitz","20:37.81","Clark/Willow Lake","M"
"120",120,"Jaymin VanDerWerff","20:51.42","Miller","M"
"121",121,"Gavin Mattson","20:53.46","Deuel","M"
"122",122,"Justin St. John","21:06.11","Crow Creek","M"
"123",123,"Boston Miller","21:28.04","McLaughlin","M"
"124",124,"Waylan Olson","22:03.80","Clark/Willow Lake","M"
"125",125,"Estevan Mentz","32:19.92","McLaughlin","M"
