"","Place","Name","Time","School","Class"
"1",1,"Ally Wheeler","18:38.51","Natrona County","F"
"2",2,"Kayley Alicke","19:42.02","Sheridan","F"
"3",3,"Ashley Gross","20:00.97","Natrona County","F"
"4",4,"Brit Wheeler","20:06.80","Custer","F"
"5",5,"Mallory Jones","20:21.79","Thunder Basin","F"
"6",6,"Aurora Evans","20:23.31","Douglas","F"
"7",7,"Alyssa Fehlauer","20:30.55","Sheridan","F"
"8",8,"Alexa Miller","20:36.08","Sheridan","F"
"9",9,"Iris Zylstra","20:49.97","Sturgis Brown","F"
"10",10,"Lexi Longhurst","20:50.40","Kelly Walsh","F"
"11",11,"Megan Doherty","20:54.59","Thunder Basin","F"
"12",12,"Nichole Clark","20:56.03","Natrona County","F"
"13",13,"Madison Melinkovich","21:01.80","Campbell County","F"
"14",14,"Maya Rodriguez","21:05.45","Kelly Walsh","F"
"15",15,"Bethany Strand","21:09.16","Kelly Walsh","F"
"16",16,"Mary Hughes","21:10.49","Sheridan","F"
"17",17,"Lia Mundt","21:14.48","Belle Fourche","F"
"18",18,"Lucy Hamer","21:16.92","Sturgis Brown","F"
"19",19,"Hadley Eckland","21:17.17","Sheridan","F"
"20",20,"Keelin Dinkins","21:17.85","Sturgis Brown","F"
"21",21,"Madie Donovan","21:22.95","Spearfish","F"
"22",22,"Emilie Reedy","21:27.61","Sturgis Brown","F"
"23",23,"Hallie Person","21:31.01","Lead-Deadwood","F"
"24",24,"Kendra Jensen","21:34.10","Campbell County","F"
"25",25,"Misty Drieling","21:39.85","Belle Fourche","F"
"26",26,"Reese Ostrander","21:48.29","Natrona County","F"
"27",27,"Ava Allen","21:52.83","Belle Fourche","F"
"28",28,"Ava Titus","21:57.49","Kelly Walsh","F"
"29",29,"Greysen Cawiezell","22:03.48","Kelly Walsh","F"
"30",30,"Ella Schirber","22:06.80","St. Thomas More","F"
"31",31,"Ellie Palmer","22:09.28","St. Thomas More","F"
"32",32,"Jayden Haugen","22:09.59","Campbell County","F"
"33",33,"Rhys Pearson","22:10.02","Belle Fourche","F"
"34",34,"Fallon Dinkins","22:15.33","Sturgis Brown","F"
"35",35,"Monica Moran","22:16.29","St. Thomas More","F"
"36",36,"Sierra Swanson","22:20.15","Custer","F"
"37",37,"Paige Willnerd","22:30.81","Sturgis Brown","F"
"38",38,"Brynn Kirol","22:31.41","Sheridan","F"
"39",39,"Brynn McCarthy","22:33.96","Natrona County","F"
"40",40,"Marykate Lacko","22:39.70","Natrona County","F"
"41",41,"Allison Bullard","22:43.52","Kelly Walsh","F"
"42",42,"Keira Alfson","22:44.57","Custer","F"
"43",43,"Hailey Woodward","22:47.81","Custer","F"
"44",44,"Livie Martin-Davis","22:49.29","Sheridan","F"
"45",45,"Jenna Peterson","22:50.94","Kelly Walsh","F"
"46",46,"carlee Roth","22:54.95","Thunder Basin","F"
"47",47,"Abi Kroetch","22:56.16","Sturgis Brown","F"
"48",48,"Sammy Marshall","23:03.52","Campbell County","F"
"49",49,"Averi Dewine","23:12.21","Campbell County","F"
"50",50,"Payton Worthington","23:12.99","Campbell County","F"
"51",51,"Adelynn Matthews","23:22.18","Thunder Basin","F"
"52",52,"Leila Pfeil","23:41.04","Thunder Basin","F"
"53",53,"Mattea Marshall","23:44.05","Custer","F"
"54",54,"Rylee Hudson","23:45.48","Thunder Basin","F"
"55",55,"Brooklyn Reimers","23:46.80","Sheridan","F"
"56",56,"Kelsey Stiefel","23:56.70","Custer","F"
"57",57,"Faith Clem","24:06.69","Campbell County","F"
"58",58,"Claire Hannah","24:08.75","Lead-Deadwood","F"
"59",59,"Kaelyn LeFors","24:11.87","Douglas","F"
"60",60,"Makenzi Ham","24:13.52","Custer","F"
"61",61,"Jade Schulte","24:14.98","Natrona County","F"
"62",62,"Lexi Wilkins","24:54.23","Custer","F"
"63",63,"Lily Joslyn","25:09.53","Thunder Basin","F"
"64",64,"Allison Hayes","25:14.30","Belle Fourche","F"
"65",65,"Hannah Pawleski","25:22.09","St. Thomas More","F"
"66",66,"Lainey Loeffler","25:23.54","Douglas","F"
"67",67,"Josie Reedy","25:32.06","Sturgis Brown","F"
"68",68,"Nevada McMahon","25:37.13","Lead-Deadwood","F"
"69",69,"Ella Schleiffarth","26:08.56","St. Thomas More","F"
"70",70,"Brianna McCrae","26:57.84","Douglas","F"
"71",71,"Kelly Clauson","27:49.71","Douglas","F"
"72",72,"Madelynn Schlup","28:31.92","Spearfish","F"
"73",73,"Jackie Heisler","28:51.25","Edgemont","F"
