"","Place","Name","Time","School","Class"
"1",1,"Jared Lutmer","16:00.95","Pierre T.F. Riggs","M"
"2",2,"Jack Castelli","16:43.68","O'Gorman","M"
"3",3,"Mikah Peters","16:46.56","Brandon Valley","M"
"4",4,"Cole Reilly","16:48.10","SF Washington","M"
"5",5,"Kieran Weigelt","17:04.49","SF Jefferson","M"
"6",6,"Ernest Ting","17:08.92","Brookings","M"
"7",7,"Evan Mahrous","17:12.84","O'Gorman","M"
"8",8,"Dane Stark","17:15.49","Watertown","M"
"9",9,"Caleb Morris","17:15.95","Pierre T.F. Riggs","M"
"10",10,"Eli Woidyla","17:19.07","Brandon Valley","M"
"11",11,"Joseph Perkins","17:19.64","Aberdeen Central","M"
"12",12,"Dominic Ripperda","17:21.22","O'Gorman","M"
"13",13,"Ty Sullivan","17:21.77","Watertown","M"
"14",14,"Jonathan Kahler","17:28.11","Brookings","M"
"15",15,"David VanVeen","17:30.50","Aberdeen Central","M"
"16",16,"Igen Nyawanda","17:31.60","Brookings","M"
"17",17,"Tate DeVries","17:35.55","Aberdeen Central","M"
"18",18,"Paul Kern","17:36.61","Brandon Valley","M"
"19",19,"Jacob York","17:38.03","Brookings","M"
"20",20,"Griffin Smith","17:46.16","Harrisburg","M"
"21",21,"Griffin Miller","17:47.21","SF Washington","M"
"22",22,"Ben Parsons","17:48.47","SF Washington","M"
"23",23,"Jackson Boltjes","17:50.31","SF Washington","M"
"24",24,"Riley Williams","17:50.52","SF Washington","M"
"25",25,"Asher Selness","17:52.66","Brandon Valley","M"
"26",26,"Hunter Patton","17:53.31","Mitchell","M"
"27",27,"Emran Anbesse","17:54.74","SF Washington","M"
"28",28,"Haeden Wheelhouse","17:57.52","Pierre T.F. Riggs","M"
"29",29,"Esten Foss","17:59.19","Aberdeen Central","M"
"30",30,"Camden Coughlin","18:02.15","Brandon Valley","M"
"31",31,"Tino Lopez","18:05.66","Aberdeen Central","M"
"32",32,"Brekken Biteler","18:06.49","SF Washington","M"
"33",33,"Sam Schultz","18:12.71","Aberdeen Central","M"
"34",34,"Max Nelson","18:13.43","Aberdeen Central","M"
"35",35,"Patrick Severson","18:14.05","Aberdeen Central","M"
"36",36,"Jack Wagoner","18:17.46","SF Jefferson","M"
"37",37,"Kellar Sjomeling","18:24.82","SF Jefferson","M"
"38",38,"Easton Klatt","18:27.18","Harrisburg","M"
"39",39,"Carson Urlacher","18:31.94","Aberdeen Central","M"
"40",40,"Lance Bodeen","18:35.42","Harrisburg","M"
"41",41,"Ashton Bierema","18:36.49","O'Gorman","M"
"42",42,"Seth Borchers","18:37.84","SF Jefferson","M"
"43",43,"Ryley McKeown","18:43.40","Brandon Valley","M"
"44",44,"Carson Coulter","18:43.48","SF Washington","M"
"45",45,"Isaiah Norton","18:50.33","Watertown","M"
"46",46,"Evan Miller","18:52.26","Harrisburg","M"
"47",47,"Greyson Cauwels","18:53.09","Harrisburg","M"
"48",48,"Mason Ward-Zeller","18:54.52","Pierre T.F. Riggs","M"
"49",49,"Jayden Brandt","18:56.58","Pierre T.F. Riggs","M"
"50",50,"Bergen Irey","18:57.95","Brandon Valley","M"
"51",51,"James Heinz","18:58.43","Harrisburg","M"
"52",52,"Jaylen Palmer","18:58.75","SF Jefferson","M"
"53",53,"Ryan McKeown","18:59.68","Harrisburg","M"
"54",54,"Logan Brakke","19:00.92","Brandon Valley","M"
"55",55,"Elijah Schroeder","19:03.54","Mitchell","M"
"56",56,"Teagan Lien","19:04.63","Huron","M"
"57",57,"Elias Michailidis","19:05.72","Brandon Valley","M"
"58",58,"Camden Reilly","19:06.23","SF Washington","M"
