,Place,Name,Time,School,Class
1,1,Kylah Biggins,22:09,Chamberlain,M
2,2,Grace Phillips,22:35,Chamberlain,M
3,3,Lily Baker,22:53,Kimball/White Lake,M
4,4,Alli McCord,23:18,Kimball/White Lake,M
5,5,Taya Dickau,24:06:00,ONeill,M
6,6,Asia VanDerWerff,24:14:00,Gregory,M
7,7,Silvana Houska,24:48:00,Chamberlain,M
8,8,BreAna Aske,25:03:00,Jones County,M
9,9,Ashley Dickau,25:14:00,ONeill,M
10,10,Shelly Larvie,26:43:00,Todd County,M
11,11,Ellie Talsma,27:38:00,Gregory,M
12,12,Elizabeth Moore,27:49:00,Todd County,M
13,13,Abigail Engel,27:49:00,Gregory,M
14,14,Emily Grim,27:57:00,Gregory,M
15,15,Addison Kierl,28:22:00,Jones County,M
16,16,Grace Mousseau,29:02:00,Chamberlain,M
17,17,Sophie Dowling,29:27:00,Jones County,M
18,18,Molly Corkle,29:53:00,ONeill,M
19,19,Cadance Amiotte,30:14:00,Todd County,M
20,20,Alexsis Red Bird,36:25:00,Todd County,M
21,21,Heaven Clairmont,40:37:00,Todd County,M
