"Place","Name","School","Time","Grade"
1,"Peyton VanDeest","Spearfish","19:11.65","11"
2,"Kori Keil","Spearfish","20:29.78","12"
3,"Kira Ubence","Douglas","20:54.28","12"
4,"Andee Frandsen","Hill City","21:23.77","12"
5,"Sierra Sandford","Spearfish","21:26.35","11"
6,"Taylor Harrelson","Rapid City Christian","21:34.96","11"
7,"Tahca Zephier","Mahpiya Luta","21:42.83","11"
8,"Aspen Veneklasen","Hill City","21:47.54","11"
9,"Lucy Hamer","Sturgis Brown","21:48.06","12"
10,"Aurora Evans","Douglas","21:48.56","9"
11,"Iris Zylstra","Sturgis Brown","21:55.46","12"
12,"TyLee Tetrault","Spearfish","22:01.16","10"
13,"Lia Mundt","Belle Fourche","22:02.15","9"
14,"Rhys Pearson","Belle Fourche","22:05.09","10"
15,"Lauryn Donovan","Spearfish","22:05.18","8"
16,"Amara Usera","St. Thomas More","22:23.66","8"
17,"Bella Linn","Spearfish","22:25.22","12"
18,"Jaelyn Peters","Hill City","22:35.80","12"
19,"Hadley Walker","Hill City","22:46.49","9"
20,"Emilie Reedy","Sturgis Brown","22:53.81","11"
21,"Brooke Thayer-Burke","Hill City","22:54.14","12"
22,"Charlee Bierle","Sturgis Brown","23:01.57","10"
23,"Gianna Heid","Sturgis Brown","23:09.00","7"
24,"Isabela Torberson","Belle Fourche","23:10.22","8"
25,"Mikayla Dennis","Custer","23:22.23","10"
26,"Misty Drieling","Belle Fourche","23:29.74","11"
27,"Spencer Proefrock","Sturgis Brown","23:43.77","7"
28,"Makenzi Ham","Custer","23:51.04","10"
29,"Gracie Banks","Mahpiya Luta","24:01.26","7"
30,"Aubree Morrison","Lead-Deadwood","24:09.03","8"
31,"Erin Harms","Douglas","24:27.29","12"
32,"Mila Heisinger","Lead-Deadwood","24:38.44","8"
33,"Aliyah Peters","Hill City","24:52.29","10"
34,"Jay Rios","Douglas","25:10.69","11"
35,"Chloe Lee","Lead-Deadwood","25:18.06","8"
36,"Kaelyn LeFors","Douglas","25:21.18","11"
37,"Lexi Wilkins","Custer","25:30.02","10"
38,"Tessa Audiss","Rapid City Christian","25:47.43","11"
39,"Kendra Thorp","Custer","25:53.92","9"
40,"Annika Olson","Lead-Deadwood","26:02.51","7"
41,"Evelyn Garcia","Custer","26:05.87","10"
42,"Kimi Rama","Mahpiya Luta","26:23.10","7"
43,"Keira Thorp","Custer","26:44.56","12"
44,"Emma Scott","Lead-Deadwood","26:51.52","8"
45,"Kadlin Hambcacht","Hot Springs","26:54.88","9"
46,"Athena White Elk","Mahpiya Luta","27:42.63","11"
47,"Katherine O'Neal","Rapid City Christian","27:44.04","12"
48,"Kat McMahon","Lead-Deadwood","29:22.08","8"
