"Place","Name","School","Time","Grade"
1,"Mikah Peters","Brandon Valley","15:33.91","12"
2,"Cole Reilly","Sioux Falls Washington","16:09.69","11"
3,"Hena Abreham","Sioux Falls Washington","16:16.58","10"
4,"Asher Selness","Brandon Valley","16:18.19","10"
5,"Ben Parsons","Sioux Falls Washington","16:23.59","11"
6,"Ethan Kyte","Brandon Valley","16:26.55","10"
7,"Dane Stark","Watertown","16:40.26","11"
8,"Jackson Boltjes","Sioux Falls Washington","17:01.34","11"
9,"Ryley McKeown","Brandon Valley","17:04.73","12"
10,"Griffin Miller","Sioux Falls Washington","17:23.98","11"
11,"Shane Harming","Brookings","17:29.46","12"
12,"Marco Springman","Brookings","17:37.45","12"
13,"Samuel Mischke","Brandon Valley","17:46.48","9"
14,"Quinntin Mischke","Brandon Valley","17:50.85","9"
15,"Tucker Lunde","Watertown","17:53.71","12"
16,"Marcus Munsch","Brandon Valley","17:55.80","11"
17,"Isaac Spahr","Brandon Valley","17:56.73","11"
18,"Landon Doyle","Sioux Falls Washington","17:57.76","11"
19,"Dylan Haar","Brookings","18:05.07","10"
20,"Garrett Ysbrand","Brookings","18:06.02","9"
21,"Aiden Johnson","Sioux Falls Washington","18:10.48","11"
22,"Nathan Flanagan","Harrisburg","18:20.32","10"
23,"Taden Jacobs","Harrisburg","18:33.49","10"
24,"Otto Winters","Brandon Valley","18:35.53","11"
25,"Elias Michailidis","Brandon Valley","18:37.88","12"
26,"Logan Becker","Watertown","18:40.01","11"
27,"Lance Bodeen","Harrisburg","18:42.84","12"
28,"Bradley Walden","Brandon Valley","18:45.35","11"
29,"Jake Malchow","Sioux Falls Washington","18:50.66","9"
30,"Daniel Wabwire","Harrisburg","19:03.45","12"
31,"Jack Bierman","Brookings","19:04.71","12"
32,"Teagan Lien","Huron","19:09.80","11"
33,"Kuddyer Baugher","Brookings","19:15.44","9"
34,"Evan Mack","Watertown","19:20.07","10"
35,"Blake Schierholz","Harrisburg","19:22.61","10"
36,"James Weir","Huron","19:27.06","11"
37,"Kaiser Lunde","Watertown","19:36.85","8"
38,"Isaiah Norton","Watertown","19:45.83","12"
39,"Ryan McKeown","Harrisburg","19:55.85","12"
40,"Weston Baker","Brookings","20:07.79","12"
41,"Maxwell Radke","Huron","20:13.43","10"
42,"Grant Curtis","Tea Area","20:38.56","9"
43,"Grady Lindgren","Watertown","20:59.54","8"
44,"Riley Clark","Tea Area","21:18.41","11"
45,"Sebastian Olivo","Huron","21:42.16","11"
