"Place","Name","School","Time","Grade"
1,"Charlie Olsen","Deubrook Area","17:20.16","12"
2,"Caden Hourigan","Deuel","17:38.76","11"
3,"Tyson Hagberg","Deuel","17:43.49","11"
4,"Nolan Eidson","Castlewood","17:54.99","11"
5,"Adam Kinner","Elkton-Lake Benton","18:03.13","9"
6,"Levi Peterson","Deuel","18:14.06","12"
7,"Sutton Benck","Deuel","18:49.61","11"
8,"Gavin Mattson","Deuel","19:17.61","10"
9,"Dominic Kluckman","Deuel","19:34.91","11"
10,"Karsten Lerwick","Arlington","19:41.95","10"
11,"Gage Landmark","Deubrook Area","20:15.83","10"
12,"Cade Hexem","Estelline/Hendricks","20:21.78","11"
13,"Gray Holden","Deuel","21:11.15","9"
14,"Colsen Texley","Estelline/Hendricks","21:30.81","9"
15,"Spencer Antonen","Arlington","21:44.40","9"
16,"Carter Hawks","Deubrook Area","22:40.05","10"
17,"Michael Smith","Arlington","23:05.93","8"
18,"Grant Clelland","Arlington","24:24.54","10"
19,"James Lesher","Estelline/Hendricks","26:33.76","12"
