"Place","Name","School","Time","Grade"
1,"Gage Beverly","Vermillion","16:47.30","10"
2,"Jamison Gould","Dakota Valley","16:50.52","10"
3,"Sam Sorensen","Vermillion","17:18.33","9"
4,"Isaak Booker","Lennox","17:18.47","10"
5,"Mason Marx","Elk Point-Jefferson","17:19.26","12"
6,"Jack LaFerrier","Elk Point-Jefferson","17:23.12","9"
7,"Josh Merriman","Beresford","17:30.35","8"
8,"Leo Aesoph","Lennox","17:40.66","10"
9,"Cloy McVey","Lennox","17:48.50","12"
10,"Hunter Penn","Beresford","17:56.70","12"
11,"Ben Quail","Vermillion","18:01.15","10"
12,"Noah Halvorson","Beresford","18:05.82","10"
13,"Aleeus Wall","Parker/Marion","18:07.11","10"
14,"Grady Bartunek","Wagner","18:12.74","9"
15,"Landon Strasser","Lennox","18:14.58","9"
16,"Jaxon Vande Vegte","Elk Point-Jefferson","18:14.93","10"
17,"Colten Preheim","Parker/Marion","18:15.39","12"
18,"Elijah Schaap","Beresford","18:18.48","11"
19,"Beckett Fennel","Elk Point-Jefferson","18:19.31","10"
20,"Oliver Merriman","Beresford","18:20.84","10"
21,"Henry Huether","Beresford","18:44.41","10"
22,"Jackson Schmidt","Lennox","19:18.51","10"
23,"Declan Huber","Dakota Valley","19:20.62","8"
24,"Jeremy Bockelman","Canton","19:22.32","9"
25,"Sean May","Vermillion","19:23.89","11"
26,"Ryan Bryson","Canton","19:36.28","9"
27,"Collin Goosmann","Dakota Valley","19:36.88","8"
28,"Austin Clercx","Elk Point-Jefferson","19:37.20","12"
29,"Barrett Polk","Bon Homme","20:02.32","8"
30,"Cooper Slaba","Wagner","20:07.70","8"
31,"Blake Campbell Schlotma","Dakota Valley","20:18.84","8"
32,"Corwin Laffey","Ethan/Parkston","20:25.24","10"
33,"Gavin Ma","Vermillion","20:27.45","11"
34,"Will Schnabel","Dakota Valley","20:38.47","12"
35,"Noah Buhian","Elk Point-Jefferson","20:43.88","11"
36,"Cedric Horst","Canton","20:51.88","11"
37,"Charley Bittner","Lennox","20:58.96","9"
38,"Mason Fredrich","Hanson","20:59.53","8"
39,"Dane Roberts","Vermillion","21:21.27","8"
40,"Elias Bumgardner","Hanson","21:25.28","10"
41,"Drew Mellegaard","Ethan/Parkston","21:26.38","8"
42,"Zachary McCully","Ethan/Parkston","21:26.55","12"
43,"Ian Weber","Dakota Valley","21:28.78","11"
44,"Liam Masters","Parker/Marion","21:36.49","8"
45,"Jasher Dixon","Canton","21:42.44","10"
46,"Caden Faehnrich","Bon Homme","21:45.17","9"
47,"Rylan Richardson","Canton","21:46.15","11"
48,"Onyx Niehoff","Hanson","22:26.88","9"
