"Place","Name","School","Time","Grade"
1,"Mikah Peters","Brandon Valley","14:54.09","12"
2,"Miles Lechtenberg","Sioux Falls Lincoln","15:02.03","12"
3,"Tyrus Needles","Sioux Falls Lincoln","15:15.18","11"
4,"Blake Maas","Sioux Falls Roosevelt","15:35.09","12"
5,"Cole Reilly","Sioux Falls Washington","15:38.85","11"
6,"Carson Urlacher","Aberdeen Central","15:42.00","11"
7,"Arvid Nelsen","Sioux Falls Lincoln","15:42.80","12"
8,"Dane Stark","Watertown","15:43.79","11"
9,"Caleb Morris","Pierre T.F. Riggs","15:55.60","12"
10,"Hena Abreham","Sioux Falls Washington","15:57.16","10"
11,"Ben Parsons","Sioux Falls Washington","16:03.38","11"
12,"Henry Sayler","Sioux Falls Lincoln","16:06.51","11"
13,"Griffin Smith","Harrisburg","16:07.49","12"
14,"Asher Selness","Brandon Valley","16:08.15","10"
15,"Nayati Ringing Shield","Sioux Falls Lincoln","16:18.92","12"
16,"Wyatt Balliew","Douglas","16:22.93","11"
17,"Ethan Kyte","Brandon Valley","16:27.02","10"
18,"Hunter Patton","Mitchell","16:28.43","12"
19,"Eric Errea","Rapid City Central","16:29.84","11"
20,"Aidan Hermsen","Rapid City Central","16:33.08","12"
21,"Tate Van Beek","Rapid City Stevens","16:33.12","11"
22,"Reid Groher","Sioux Falls Lincoln","16:33.75","11"
23,"Esten Foss","Aberdeen Central","16:34.23","12"
24,"Tate DeVries","Aberdeen Central","16:34.77","10"
25,"Max Nelson","Aberdeen Central","16:35.96","11"
26,"Mason Gill","Spearfish","16:36.03","10"
27,"Griffin Miller","Sioux Falls Washington","16:40.29","11"
28,"Jackson Boltjes","Sioux Falls Washington","16:41.77","11"
29,"Rylan VanDeest","Spearfish","16:42.25","9"
30,"Alex Quinn","Sioux Falls Roosevelt","16:45.23","11"
31,"Joshua Uhre","Rapid City Stevens","16:45.95","12"
32,"Bryton Olson","Yankton","16:49.34","12"
33,"Luke Feimer","Yankton","16:50.90","11"
34,"Frank Vandy","Sioux Falls Lincoln","16:55.03","11"
35,"Liam Nielsen","Sioux Falls Roosevelt","16:57.05","11"
36,"Dylan Haar","Brookings","16:57.11","10"
37,"Torin Jackson","Rapid City Stevens","16:57.36","12"
38,"Quinn Bruch","Sturgis Brown","16:59.01","12"
39,"Jackson Schema","O'Gorman","16:59.48","11"
40,"Evan Perrigo","Rapid City Stevens","17:03.52","9"
41,"Gideon Okken","Harrisburg","17:04.15","10"
42,"Ryley McKeown","Brandon Valley","17:04.29","12"
43,"Weston Adams","Rapid City Stevens","17:07.27","10"
44,"Shane Harming","Brookings","17:07.54","12"
45,"Samuel Sheehy","Rapid City Central","17:07.72","12"
46,"Kyson Fayant","Aberdeen Central","17:08.33","12"
47,"Harrison Krajewski","Yankton","17:09.58","12"
48,"Jaxon Hanson","Rapid City Stevens","17:12.53","11"
49,"Austin Dittmer","Sioux Falls Roosevelt","17:14.57","10"
50,"Samuel Mischke","Brandon Valley","17:16.26","9"
51,"Landon Doyle","Sioux Falls Washington","17:17.42","11"
52,"Reid Hammerquist","Tea Area","17:18.84","11"
53,"Ben Dirks","Harrisburg","17:19.61","11"
54,"Maverik Ragon","Harrisburg","17:20.92","12"
55,"Isaac Paulson","Yankton","17:22.30","10"
56,"Dawson Lowery","Harrisburg","17:22.51","10"
57,"Tucker Lunde","Watertown","17:24.98","12"
58,"Trevor Knox","Sioux Falls Roosevelt","17:25.78","12"
59,"Isaac Spahr","Brandon Valley","17:26.42","11"
60,"Henry Smith","O'Gorman","17:27.03","10"
61,"Bennie Olsen","Douglas","17:28.51","11"
62,"Marco Springman","Brookings","17:29.51","12"
63,"Isaac Clement","Douglas","17:30.58","9"
64,"Greyson Cauwels","Harrisburg","17:32.80","12"
65,"Carter Thompson","Spearfish","17:33.09","10"
66,"Eli Weinrich","Aberdeen Central","17:34.18","10"
67,"Nathan Flanagan","Harrisburg","17:36.21","10"
68,"Miles Kornegay","Sturgis Brown","17:36.29","11"
69,"Daniel Mason","Pierre T.F. Riggs","17:39.05","11"
70,"Jack Campbell","Tea Area","17:39.79","12"
71,"Ryan Heldenbrand","O'Gorman","17:40.95","10"
72,"Will Sorenson","O'Gorman","17:41.95","12"
73,"Ethan Brenden","Yankton","17:42.49","12"
74,"Gabe Rock","Yankton","17:43.63","10"
75,"Gavin Chiaroni","Douglas","17:47.91","11"
76,"Isaac Larrington","Yankton","17:49.00","11"
77,"Gavin Greenfield","O'Gorman","17:50.25","10"
78,"Dawson Deering","Sturgis Brown","17:52.97","9"
79,"Garrett Ysbrand","Brookings","17:54.54","9"
80,"Reece Christian","Tea Area","17:55.80","9"
81,"Teegan Grosz","Rapid City Central","17:56.48","10"
82,"Mylan McDaniel","Rapid City Central","17:57.18","10"
83,"Jeriah Alexander","Rapid City Stevens","17:58.65","12"
84,"Quinntin Mischke","Brandon Valley","17:59.22","9"
85,"Kadin Gonzales","Spearfish","17:59.96","12"
86,"Jonah Klemisch","Tea Area","18:01.37","11"
87,"Wyatt Cooley","Brookings","18:01.51","9"
88,"Kaden Christian","Tea Area","18:01.77","11"
89,"Kuddyer Baugher","Brookings","18:02.32","9"
90,"Micah Bennett","Mitchell","18:02.95","8"
91,"Tate VanLaecken","Tea Area","18:09.90","11"
92,"Aiden Johnson","Sioux Falls Washington","18:11.21","11"
93,"Evan Hunter","Sioux Falls Roosevelt","18:11.43","10"
94,"James Palecek","Rapid City Central","18:13.12","12"
95,"Shaedon Isler","Rapid City Central","18:13.52","12"
96,"Ryder Davis","Aberdeen Central","18:15.14","12"
97,"Kale Fenner","Sturgis Brown","18:18.91","12"
98,"Evan Mack","Watertown","18:19.48","10"
99,"Karsten Herges","Mitchell","18:20.92","9"
100,"Camden Lamb","Pierre T.F. Riggs","18:22.71","9"
101,"James Stolley","Pierre T.F. Riggs","18:25.94","11"
102,"Isaiah Norton","Watertown","18:27.26","12"
103,"Ben Gerlach","Mitchell","18:27.49","12"
104,"Will Mullenmeister","Mitchell","18:28.75","7"
105,"Landon Quimby","Douglas","18:32.43","9"
106,"Alex Gaspar","Sioux Falls Roosevelt","18:34.20","11"
107,"Corbin Dodson","Sturgis Brown","18:38.49","10"
108,"Shane Jones","Pierre T.F. Riggs","18:40.90","10"
109,"Ian Cho","Spearfish","18:41.82","10"
110,"Jett Kirschenmann","Pierre T.F. Riggs","18:42.48","9"
111,"Jack Bierman","Brookings","18:46.84","12"
112,"Tryton Parmely","Pierre T.F. Riggs","18:51.02","11"
113,"Peyton Kallstrom","Douglas","18:55.26","11"
114,"Teagan Lien","Huron","19:00.92","11"
115,"Logan Becker","Watertown","19:02.96","11"
116,"Micah Oliver","Douglas","19:03.89","10"
117,"Anthony Stevens","Spearfish","19:04.44","8"
118,"James Weir","Huron","19:05.76","11"
119,"Alex Albrecht","Spearfish","19:08.51","10"
120,"Jacob DeYoung","Tea Area","19:11.51","12"
121,"Kaiser Lunde","Watertown","19:13.72","8"
122,"Logan Nelson","O'Gorman","19:31.23","9"
123,"Eyosiyas Tarekegn","Sioux Falls Jefferson","19:49.36","11"
124,"Deyondre Fick","Sioux Falls Jefferson","19:50.52","11"
125,"Maxwell Radke","Huron","19:54.96","10"
126,"Drew Pociask","O'Gorman","19:57.56","11"
127,"Charleston Wachter","Huron","19:58.09","8"
128,"Kaiden Colomb","Mitchell","19:58.17","8"
129,"Blake Russell","Mitchell","20:12.41","7"
130,"Alexander Sowah","Sioux Falls Jefferson","20:20.86","9"
131,"Grady Lindgren","Watertown","20:28.97","8"
132,"Sebastian Olivo","Huron","21:30.83","11"
133,"Emerson Sarvis","Huron","23:53.88","11"
