"Place","Name","School","Time","Grade"
1,"Miles Lechtenberg","","Sioux Falls Lincoln","15:29.57"
2,"Tyrus Needles","","Sioux Falls Lincoln","15:35.73"
3,"Blake Maas","","Sioux Falls Roosevelt","15:41.69"
4,"Cole Reilly","","Sioux Falls Washington","15:51.40"
5,"Arvid Nelsen","","Sioux Falls Lincoln","16:27.03"
6,"Nayati Ringing Shield","","Sioux Falls Lincoln","16:29.29"
7,"Reid Groher","","Sioux Falls Lincoln","16:38.94"
8,"Henry Sayler","","Sioux Falls Lincoln","16:40.24"
9,"Griffin Miller","","Sioux Falls Washington","16:53.00"
10,"Hena Abreham","","Sioux Falls Washington","16:54.34"
11,"Ben Parsons","","Sioux Falls Washington","17:03.55"
12,"Jackson Boltjes","","Sioux Falls Washington","17:08.71"
13,"Alex Quinn","","Sioux Falls Roosevelt","17:11.84"
14,"Finn Ralston-Perreault","","Sioux Falls Lincoln","17:17.99"
15,"Frank Vandy","","Sioux Falls Lincoln","17:18.23"
16,"Riddick Iseminger","","Sioux Falls Lincoln","17:21.64"
17,"Braeden Raga","","Sioux Falls Lincoln","17:34.56"
18,"Edrik Saeger","","Sioux Falls Lincoln","17:57.02"
19,"Landon Doyle","","Sioux Falls Washington","18:05.93"
20,"Sam Gusso","","Sioux Falls Lincoln","18:08.33"
21,"Will Tibbetts","","Sioux Falls Lincoln","18:13.30"
22,"Austin Dittmer","","Sioux Falls Roosevelt","18:20.77"
23,"Trevor Knox","","Sioux Falls Roosevelt","18:24.04"
24,"Everett Herrboldt","","Sioux Falls Lincoln","18:31.61"
25,"Aiden Johnson","","Sioux Falls Washington","18:36.41"
26,"Jacob Madsen","","Sioux Falls Lincoln","18:51.17"
27,"Sam Murray","","Sioux Falls Lincoln","18:55.65"
28,"Jake Malchow","","Sioux Falls Washington","19:05.35"
29,"Jackson Storm","","Sioux Falls Washington","19:06.58"
30,"Teddy Krueger","","Sioux Falls Lincoln","19:08.97"
31,"Evan Hunter","","Sioux Falls Roosevelt","19:19.99"
32,"Daniel Samlaska","","Sioux Falls Washington","19:45.62"
33,"Ian Lavender","","Sioux Falls Lincoln","19:59.40"
34,"Grant Fischer","","Sioux Falls Roosevelt","20:09.83"
35,"Max Bauer","","Sioux Falls Lincoln","20:19.18"
36,"Ian Jares","","Sioux Falls Washington","20:25.16"
37,"Jack Larsen","","Sioux Falls Roosevelt","20:31.74"
38,"Jaden Schempp","","Sioux Falls Lincoln","20:41.75"
39,"Benton Nelson","","Sioux Falls Roosevelt","20:45.21"
40,"Liam Anderson","","Sioux Falls Roosevelt","20:45.69"
41,"Hudson Schmuck","","Sioux Falls Washington","20:50.19"
42,"Traedyn Webb","","Sioux Falls Lincoln","20:56.17"
43,"Miles Jacobsma","","Sioux Falls Lincoln","21:13.23"
44,"Anthony Jones","","Sioux Falls Lincoln","21:23.16"
45,"Cole Kappenman","","Sioux Falls Washington","21:27.82"
46,"Jacob Farmer","","Sioux Falls Washington","21:28.41"
47,"Konner Marshall","","Sioux Falls Roosevelt","21:33.94"
48,"Elliot Hanson","","Sioux Falls Lincoln","21:36.58"
49,"Aidan Peterson","","Sioux Falls Roosevelt","21:39.18"
50,"Dallas Johnson","","Sioux Falls Washington","21:43.75"
51,"Aiden Johnson","","Sioux Falls Roosevelt","21:45.64"
52,"Eyosiyas Tarekegn","","Sioux Falls Jefferson","21:58.55"
53,"Corey Schneider","","Sioux Falls Washington","22:01.54"
54,"Brett Bishop","","Sioux Falls Washington","22:10.69"
55,"William Torgerson","","Sioux Falls Washington","22:16.71"
56,"Deyondre Fick","","Sioux Falls Jefferson","22:26.92"
57,"Noah Smith","","Sioux Falls Lincoln","22:39.75"
58,"Harper Lundgren","","Sioux Falls Lincoln","22:53.54"
59,"Arjun Agrawal","","Sioux Falls Lincoln","23:55.25"
60,"Ethan Dumdei","","Sioux Falls Lincoln","24:23.77"
61,"Gavin Bartz","","Sioux Falls Lincoln","25:01.22"
62,"John Pate","","Sioux Falls Lincoln","25:04.37"
63,"Alex Kovalenko","","Sioux Falls Roosevelt","25:23.19"
64,"Amare Williams","","Sioux Falls Lincoln","25:49.35"
65,"Hunter Underwood","","Sioux Falls Washington","26:00.26"
66,"Ian Pramov","","Sioux Falls Roosevelt","26:33.33"
67,"Kinzer Brown","","Sioux Falls Jefferson","26:43.42"
68,"Wyatt Wolfname","","Sioux Falls Washington","27:25.55"
69,"Lincoln Schuring","","Sioux Falls Lincoln","36:39.49"
